	wave	flux
      3847.86  3.07860e-16
      3848.94  1.45348e-16
      3850.01  2.30680e-16
      3851.09  1.50742e-16
      3852.16 -3.81910e-17
      3853.24  1.74243e-17
      3854.31  2.27898e-16
      3855.39  5.58263e-17
      3856.46  4.13348e-18
      3857.53  1.39087e-16
      3858.61 -1.44799e-16
      3859.68  3.44311e-16
      3860.76 -5.35125e-17
      3861.83  3.34637e-16
      3862.91  2.39815e-17
      3863.98 -7.01561e-17
      3865.06 -1.54959e-16
      3866.13  1.20285e-16
      3867.21 -3.11439e-17
      3868.28  1.68449e-16
      3869.36 -9.89855e-17
      3870.43  1.62732e-16
      3871.51  3.02490e-17
      3872.58 -2.92272e-17
      3873.66 -1.69121e-16
      3874.73  9.94312e-17
      3875.81 -2.38282e-17
      3876.88  1.21555e-16
      3877.96  9.27776e-17
      3879.04  3.61023e-16
      3880.11 -8.16779e-17
      3881.19 -1.92917e-16
      3882.26 -7.62242e-17
      3883.34  1.91232e-16
      3884.41  4.38463e-16
      3885.49  7.83259e-17
      3886.56  1.64281e-16
      3887.64 -7.40857e-17
      3888.72 -1.01803e-16
      3889.79  1.26487e-16
      3890.87  1.94836e-16
      3891.94  3.90165e-16
      3893.02 -8.61532e-17
      3894.09  3.63744e-16
      3895.17  2.73129e-16
      3896.25 -4.50473e-18
      3897.32 -2.58535e-16
      3898.40  3.89813e-16
      3899.47  1.12641e-16
      3900.55  3.68820e-17
      3901.63 -8.70851e-17
      3902.70 -9.74897e-17
      3903.78 -1.09443e-16
      3904.86 -2.01192e-16
      3905.93  2.85132e-16
      3907.01  4.68530e-16
      3908.08  8.45832e-17
      3909.16  1.61262e-16
      3910.24  2.32303e-17
      3911.31  4.16905e-16
      3912.39  5.34783e-17
      3913.47 -2.33452e-16
      3914.54 -7.24463e-17
      3915.62  1.36308e-17
      3916.70  1.80131e-16
      3917.77  7.49933e-17
      3918.85  1.26548e-16
      3919.93 -9.24687e-18
      3921.00  1.91677e-16
      3922.08  4.31068e-17
      3923.16 -1.64899e-16
      3924.23  7.38489e-17
      3925.31 -1.11183e-16
      3926.39  8.00109e-17
      3927.46  1.34283e-16
      3928.54  1.41314e-16
      3929.62  2.52791e-16
      3930.70 -2.94600e-17
      3931.77  1.21586e-16
      3932.85  2.88936e-16
      3933.93  4.82504e-16
      3935.00  5.76253e-17
      3936.08  1.68754e-17
      3937.16  1.69128e-17
      3938.24  1.59745e-16
      3939.31  2.05811e-16
      3940.39  1.45335e-16
      3941.47  9.81066e-17
      3942.55  4.15592e-17
      3943.62  1.12187e-16
      3944.70 -9.30696e-18
      3945.78 -1.08710e-17
      3946.86  7.14545e-17
      3947.93  4.62543e-17
      3949.01  1.82741e-16
      3950.09  9.83072e-17
      3951.17  1.35165e-16
      3952.24  1.01653e-16
      3953.32  9.42482e-17
      3954.40 -1.00324e-17
      3955.48  1.39082e-16
      3956.56  4.28897e-16
      3957.63 -1.30463e-16
      3958.71 -6.66817e-17
      3959.79  1.84185e-16
      3960.87 -5.51358e-18
      3961.94  9.42621e-17
      3963.02 -2.75339e-17
      3964.10  2.34044e-16
      3965.18  2.09079e-16
      3966.26  1.14263e-16
      3967.34  2.84736e-16
      3968.41  2.36138e-16
      3969.49  3.71861e-16
      3970.57  2.36604e-16
      3971.65  2.08256e-16
      3972.73 -5.56475e-17
      3973.81  5.04856e-16
      3974.88  2.44035e-16
      3975.96 -3.28336e-16
      3977.04 -2.50118e-16
      3978.12  2.78734e-16
      3979.20  1.05231e-16
      3980.28 -1.64225e-17
      3981.35 -1.12301e-16
      3982.43  2.04059e-16
      3983.51  6.68759e-17
      3984.59  2.32929e-16
      3985.67  1.88141e-16
      3986.75  1.82523e-16
      3987.83 -1.59669e-17
      3988.91 -3.27645e-17
      3989.98  3.03307e-16
      3991.06  8.26045e-17
      3992.14  1.20866e-16
      3993.22  6.57293e-17
      3994.30  1.65917e-16
      3995.38  1.77922e-16
      3996.46  1.47701e-16
      3997.54  1.34824e-16
      3998.62  9.47559e-17
      3999.70  4.57705e-16
      4000.77  2.03111e-16
      4001.85  3.56036e-17
      4002.93  2.87349e-16
      4004.01  2.71568e-16
      4005.09 -3.66475e-17
      4006.17  6.22460e-16
      4007.25  4.34335e-16
      4008.33 -1.23336e-16
      4009.41  1.20452e-16
      4010.49  1.47029e-16
      4011.57  5.82723e-17
      4012.65 -3.25371e-17
      4013.73  6.89130e-17
      4014.81  1.86642e-16
      4015.89  2.89716e-16
      4016.97  5.62307e-16
      4018.05 -3.65331e-17
      4019.13  1.23211e-16
      4020.20  4.57509e-16
      4021.28  1.01907e-16
      4022.36  3.73707e-16
      4023.44  2.67927e-16
      4024.52  1.54313e-16
      4025.60  1.74474e-16
      4026.68  1.46604e-16
